City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Turan,VN,2022-12-19 01:05:36,16.0678,108.2208,62.58,88,100,5.75
69,Cherskiy,RU,2022-12-19 01:05:36,68.75,161.3,15.96,79,96,5.48
70,Tocopilla,CL,2022-12-19 01:01:54,-22.092,-70.1979,69.04,72,0,4.34
71,Sambava,MG,2022-12-19 01:01:53,-14.2667,50.1667,74.14,89,84,5.68
72,Thompson,CA,2022-12-19 01:05:37,55.7435,-97.8558,-10.86,90,100,6.13
73,Vedeno,RU,2022-12-19 01:05:38,42.9703,46.095,43.9,50,91,4.18
74,Katsuura,JP,2022-12-19 00:59:57,35.1333,140.3,44.62,55,11,21.85
75,Siteki,SZ,2022-12-19 01:05:38,-26.45,31.95,61.95,92,84,4.03
76,Vao,NC,2022-12-19 01:00:26,-22.6667,167.4833,79.05,66,0,7.7
77,Vanino,RU,2022-12-19 01:05:39,49.0869,140.2543,-3.46,70,18,6.38
78,Praia Da Vitoria,PT,2022-12-19 01:05:40,38.7333,-27.0667,60.76,94,26,14.94
79,Hobart,AU,2022-12-19 00:56:00,-42.8794,147.3294,67.05,61,75,8.05
80,Kon Tum,VN,2022-12-19 01:05:41,14.35,108.0,63.16,74,48,6.71
81,Bethanien,NA,2022-12-19 01:05:41,-26.502,17.1583,70.38,47,0,4.99
82,Hermanus,ZA,2022-12-19 01:00:34,-34.4187,19.2345,66.79,79,100,11.07
83,Tailai,CN,2022-12-19 01:05:42,46.3833,123.4,-5.08,64,0,6.04
84,Kavaratti,IN,2022-12-19 01:02:01,10.5669,72.642,81.95,71,12,9.33
85,Purranque,CL,2022-12-19 01:02:34,-40.9167,-73.1667,56.28,57,100,4.85
86,Imeni Poliny Osipenko,RU,2022-12-19 01:05:43,52.4201,136.4853,-8.95,93,100,8.75
87,Kasangulu,CD,2022-12-19 01:05:43,-4.5911,15.1708,70.52,97,85,2.93
88,Saint George,US,2022-12-19 01:05:44,37.1041,-113.5841,42.26,40,0,4.61
89,Cidreira,BR,2022-12-19 01:05:45,-30.1811,-50.2056,69.67,79,100,19.46
90,Kerchevskiy,RU,2022-12-19 01:05:45,59.946,56.2884,19.4,96,100,5.1
91,Iskateley,RU,2022-12-19 01:06:46,67.6803,53.1512,8.04,96,100,7.87
92,Cape Town,ZA,2022-12-19 01:00:33,-33.9258,18.4232,67.12,75,43,15.01
93,Hofn,IS,2022-12-19 01:06:46,64.2539,-15.2082,22.89,78,100,25.93
94,Victoria,HK,2022-12-19 01:03:04,22.2855,114.1577,56.95,47,0,8.99
95,Adrar,MR,2022-12-19 01:02:29,20.5022,-10.0711,67.17,25,0,10.85
96,Zhuhai,CN,2022-12-19 01:06:47,22.2769,113.5678,53.38,58,0,17.27
97,Mahebourg,MU,2022-12-19 01:06:48,-20.4081,57.7,76.24,77,63,13.51
98,Mar Del Plata,AR,2022-12-19 01:00:10,-38.0023,-57.5575,68.88,81,6,25.99
99,New Norfolk,AU,2022-12-19 01:03:23,-42.7826,147.0587,66.7,40,4,3.65
100,Calvinia,ZA,2022-12-19 01:06:49,-31.4707,19.776,62.08,72,5,5.64
101,Neryungri,RU,2022-12-19 01:06:49,56.6709,124.6491,-33.5,99,98,3.22
102,Nayoro,JP,2022-12-19 01:06:50,44.3506,142.4578,17.49,90,100,10.16
103,Souillac,MU,2022-12-19 01:01:07,-20.5167,57.5167,75.69,77,92,12.41
104,Polunochnoye,RU,2022-12-19 01:06:51,60.8697,60.4153,13.15,96,100,3.94
105,Saskylakh,RU,2022-12-19 01:03:13,71.9167,114.0833,-43.01,100,82,4.92
106,Hasaki,JP,2022-12-19 01:01:52,35.7333,140.8333,43.2,43,1,10.96
107,Isangel,VU,2022-12-19 01:06:52,-19.55,169.2667,83.84,70,77,3.31
108,Dingle,PH,2022-12-19 01:03:20,10.9995,122.6711,75.7,92,100,8.68
109,Whittlesea,ZA,2022-12-19 01:06:53,-32.1759,26.8244,58.3,92,70,2.89
110,Richards Bay,ZA,2022-12-19 01:06:53,-28.783,32.0377,68.99,81,77,6.8
111,Caravelas,BR,2022-12-19 01:06:54,-17.7125,-39.2481,74.39,93,100,7.02
112,Keti Bandar,PK,2022-12-19 01:06:54,24.1447,67.4497,72.37,60,100,8.23
113,Vila Velha,BR,2022-12-19 00:58:26,-20.3297,-40.2925,75.15,94,100,3.44
114,Camacha,PT,2022-12-19 01:06:55,33.0833,-16.3333,65.62,83,75,20.71
115,Ostrovnoy,RU,2022-12-19 01:06:55,68.0531,39.5131,15.57,97,81,13.15
116,Rio Cuarto,AR,2022-12-19 01:06:52,-33.1307,-64.3499,73.17,31,0,10.36
117,Qaanaaq,GL,2022-12-19 01:00:27,77.484,-69.3632,18.43,78,100,8.46
118,Mayya,RU,2022-12-19 01:06:56,61.7333,130.2811,-38.88,98,100,1.63
119,Vanimo,PG,2022-12-19 01:06:57,-2.6741,141.3028,84.22,73,74,2.19
120,El Cobre,CU,2022-12-19 01:06:57,20.0489,-75.9469,74.64,73,20,1.14
121,Gelendzhik,RU,2022-12-19 01:06:58,44.5731,38.0747,40.32,81,100,10.2
122,Shahganj,IN,2022-12-19 01:06:58,26.05,82.6833,53.15,48,64,5.17
123,Tiksi,RU,2022-12-19 01:00:29,71.6872,128.8694,-13.94,98,100,9.35
124,Puerto Ayora,EC,2022-12-19 01:02:00,-0.7393,-90.3518,71.55,92,35,1.99
125,Bilibino,RU,2022-12-19 01:06:59,68.0546,166.4372,18.18,75,100,6.85
126,Chalakudi,IN,2022-12-19 01:07:00,10.304,76.3361,73.31,100,20,3.44
127,East London,ZA,2022-12-19 01:07:00,-33.0153,27.9116,66.87,78,41,4.07
128,Grindavik,IS,2022-12-19 01:07:01,63.8424,-22.4338,19.87,73,20,26.46
129,Kimbe,PG,2022-12-19 01:07:01,-5.5502,150.1429,83.23,78,100,2.17
130,Banda Aceh,ID,2022-12-19 01:07:02,5.5577,95.3222,76.17,88,100,9.06
131,Kavieng,PG,2022-12-19 01:00:47,-2.5744,150.7967,83.43,68,100,1.36
132,Esperance,AU,2022-12-19 01:03:28,-33.8667,121.9,67.44,61,1,9.89
133,Bethel,US,2022-12-19 01:07:04,41.3712,-73.414,34.52,68,100,8.01
134,Korampallam,IN,2022-12-19 01:07:04,8.7667,78.1,75.49,83,20,9.22
135,Wagar,SD,2022-12-19 01:07:05,16.1525,36.2032,70.0,76,0,11.12
136,Auki,SB,2022-12-19 01:07:05,-8.7676,160.7034,86.58,61,6,3.98
137,Ushtobe,KZ,2022-12-19 01:07:06,45.2514,77.9838,5.67,95,27,4.21
138,Otjiwarongo,NA,2022-12-19 01:08:07,-20.4637,16.6477,64.69,48,0,6.64
139,Belmonte,BR,2022-12-19 01:04:07,-15.8631,-38.8828,76.71,87,100,8.08
140,Leningradskiy,RU,2022-12-19 01:08:07,69.3833,178.4167,11.77,90,95,10.4
141,Sunrise Manor,US,2022-12-19 01:05:09,36.2111,-115.0731,49.51,28,0,4.61
142,Kolda,SN,2022-12-19 01:08:08,12.8833,-14.95,71.92,18,75,2.8
143,Castro,BR,2022-12-19 01:02:10,-24.7911,-50.0119,59.41,93,100,10.38
144,Healesville,AU,2022-12-19 01:08:09,-37.65,145.5167,76.69,30,0,2.48
145,Georgetown,MY,2022-12-19 01:01:56,5.4112,100.3354,78.73,81,20,6.91
146,Nelson Bay,AU,2022-12-19 01:08:10,-32.7167,152.15,69.1,51,82,13.0
