City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Nome,US,64.5011,-165.4064,17.67,93,100,3.44,overcast clouds
80,Bethel,US,41.3712,-73.414,40.5,72,75,3.0,broken clouds
81,Ruteng,ID,-8.6136,120.4721,64.4,85,100,2.98,overcast clouds
82,Sioux Lookout,CA,50.1001,-91.917,15.87,92,40,4.61,scattered clouds
83,Hualmay,PE,-11.0964,-77.6139,71.67,73,15,8.3,few clouds
84,Panzhihua,CN,26.5851,101.7128,44.82,77,0,0.74,clear sky
85,Arraial Do Cabo,BR,-22.9661,-42.0278,70.29,87,100,8.3,overcast clouds
86,Georgetown,MY,5.4112,100.3354,77.95,88,20,4.61,few clouds
87,Redcar,GB,54.6166,-1.06,46.72,65,59,20.0,broken clouds
88,Atambua,ID,-9.1061,124.8925,75.65,84,96,1.63,overcast clouds
89,Berlevag,NO,70.8578,29.0864,14.0,83,36,15.37,scattered clouds
90,Clyde River,CA,70.4692,-68.5914,-23.57,69,0,3.44,clear sky
91,Baherden,TM,38.4362,57.4316,44.69,74,67,5.86,broken clouds
92,Amahai,ID,-3.3333,128.9167,81.39,75,100,3.67,overcast clouds
93,Grand Gaube,MU,-20.0064,57.6608,77.4,72,7,5.01,light rain
94,Qaanaaq,GL,77.484,-69.3632,-10.12,97,100,4.14,overcast clouds
95,Lagoa,PT,39.05,-27.9833,61.02,89,100,26.33,overcast clouds
96,Mormugao,IN,15.4,73.8,73.47,56,0,7.94,clear sky
97,Calabozo,VE,8.9242,-67.4293,85.19,50,100,5.3,overcast clouds
98,Chokurdakh,RU,70.6333,147.9167,-25.31,98,100,4.63,overcast clouds
99,Nishihara,JP,26.1842,127.7558,58.28,74,20,5.75,few clouds
100,Richards Bay,ZA,-28.783,32.0377,64.29,84,50,7.4,scattered clouds
101,Orangeburg,US,33.4918,-80.8557,56.82,59,0,0.0,clear sky
102,Lebu,CL,-37.6167,-73.65,62.89,77,24,8.1,few clouds
103,Port Hedland,AU,-20.3167,118.5667,82.45,78,100,16.11,overcast clouds
104,Kapaa,US,22.0752,-159.319,80.92,68,20,6.91,few clouds
105,Maceio,BR,-9.6658,-35.7353,76.44,88,0,6.91,clear sky
106,East London,ZA,-33.0153,27.9116,64.33,81,84,7.07,broken clouds
107,Alloa,GB,56.1159,-3.79,46.45,85,68,4.0,broken clouds
108,Hilo,US,19.7297,-155.09,82.13,63,20,9.22,few clouds
109,Muravlenko,RU,63.7898,74.523,-32.69,86,66,19.39,broken clouds
110,Vaini,TO,-21.2,-175.2,86.16,79,40,13.8,scattered clouds
111,Norman Wells,CA,65.282,-126.8329,-7.56,77,100,0.0,light snow
112,Nanyuki,KE,0.0167,37.0728,52.79,88,20,4.41,few clouds
113,Annau,TM,37.8876,58.516,45.9,71,100,4.61,overcast clouds
114,Raha,IN,26.2333,92.5167,55.67,76,0,3.11,clear sky
115,Vostok,RU,46.4856,135.8833,-11.65,94,54,4.52,broken clouds
116,Quatre Cocos,MU,-20.2078,57.7625,77.11,78,26,11.59,light rain
117,Todos Santos,MX,23.45,-110.2167,73.44,70,0,4.43,clear sky
118,Luis Correia,BR,-2.8792,-41.6669,80.06,79,39,12.84,scattered clouds
119,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,4.61,light rain
120,Torbay,CA,47.6666,-52.7314,29.75,85,75,5.01,broken clouds
121,Esperance,AU,-33.8667,121.9,63.39,62,0,5.03,clear sky
122,Maragogi,BR,-9.0122,-35.2225,78.33,75,18,10.71,few clouds
123,Ancud,CL,-41.8697,-73.8203,61.0,85,100,6.31,overcast clouds
124,Hit,IQ,33.6416,42.8251,50.99,77,11,8.37,few clouds
125,Pak Phanang,TH,8.3511,100.202,75.22,87,82,9.8,broken clouds
126,Tiarei,PF,-17.5333,-149.3333,87.82,74,35,8.81,light rain
127,Fortuna,US,40.5982,-124.1573,57.54,90,20,25.32,moderate rain
128,Victoria,HK,22.2855,114.1577,67.24,59,100,5.99,overcast clouds
129,Lahan,NP,26.7296,86.4951,50.49,62,0,5.21,clear sky
130,Mnogovershinnyy,RU,53.9353,139.9242,-8.05,89,99,3.13,overcast clouds
131,Umm Kaddadah,SD,13.6017,26.6876,57.58,36,20,11.63,few clouds
132,Kotelnikovo,RU,47.6317,43.1461,9.59,80,65,7.61,broken clouds
